first_name,last_name,birth_city,birth_country,birth_yr,birth_mo,birth_d,height_cm,weight_kg,started,id
Toni,Lamprecht,Munich,Germany,1971,4,28,187,88,1984,0
Jan,Hojer,Koln,Germany,1992,2,9,186,80.7394,2003,1
Jimmy,Webb,Chattanooga,United States,1987,11,7,183,78,2003,2
Fred,Nicole,Le Lieu,Switzerland,1970,5,21,180,75,1983,3
Chris,Sharma,Santa Cruz,United States,1981,4,23,182.88,73.9356,1993,4
Martin,Stranik,Chocen,Czech Republic,1990,3,8,178,73,1996,5
Martin,Keller,Siebnen,Switzerland,1977,11,30,180,73,1997,6
Sebastien,Frigault,Paris,France,1974,5,1,180,69,1983,7
Adam,Ondra,Brno,Czech Republic,1993,2,5,185,68,1999,8
Jernej,Kruder,Celje,Slovenia,1990,12,5,180,68,1997,9
Lucas,Menegatti,Maisse,France,1990,7,24,183,68,2000,10
Nalle,Hukkataival,Helsinki,Finland,1986,9,8,173,68,1998,11
Petr,Resch,Hýskov,Czech Republic,1974,7,15,168,68,1985,12
Magnus,Midtboe,Bergen,Norway,1988,9,18,173,68,2000,13
Ian,Dory,Fort Collins,United States,1990,7,14,172.72,64.4101,2002,14
Mauro,Calibani,Ascoli Piceno,Italy,1974,5,10,173,64,1990,15
Bernd,Zangerl,Flirsch,Austria,1978,9,23,176,63,2000,16
Bernhard,Schwaiger,Saalfelden / Maria Alm,Austria,1975,9,13,172,63,1994,17
Carlo,Traversi,Santa Rosa,United States,1988,6,5,170,63,2002,18
Chris,Webb Parsons,Australia,Australia,1985,2,4,178,63,1999,19
Daniel,Woods,Longmont,United States,1989,8,1,166,63,1995,20
Fabian,Christof,Nurnberg,Germany,1979,3,4,170,63,1996,21
Felipe,Camargo,Sao Jose do Rio Preto,Brazil,1991,4,27,172,63,2001,22
Giuliano,Cameroni,Montagnola,Switzerland,1997,5,11,180,63,2000,23
Guillaume,Glairon-Mondet,Albertville,France,1986,12,10,178,63,1995,24
Hermann,Schwaiger,Maria Alm,Austria,1978,2,23,178,63,1994,25
Jakob ,Schubert,Innsbruck,Austria,1990,12,31,173,63,2003,26
James,Kassay,Melbourne,Australia,1985,2,24,174,63,1995,27
Jon,Cardwell,Albuquerque,United States,1989,3,12,170.18,63,2001,28
Michael,O'Rourke,Boulder,United States,1994,7,4,170,63,2001,29
Paul,Robinson,Moorestown,United States,1987,8,28,177,63,1998,30
Rosta,Stefanek*,Decin,Czech Republic,1977,8,6,178,63,1988,31
Tamas,Zupan,Nagykovácsi,Hungary,1987,11,17,178,63,2004,32
Urh,Cehovin,Ljubljana,Slovenia,1977,7,20,173,63,1991,33
Dave,Graham,Portland,United States,1981,11,10,180,62,1996,34
Christian,Core,Savona,Italy,1974,10,5,177,61,1985,35
Alberto,Rocasolano,Madrid,Spain,1991,10,19,169,58,2008,36
Antoine,Vandeputte,Paris,France,1986,7,17,164,58,2000,37
Dai,Koyamada,Yokohama,Japan,1976,8,23,165,58,2000,38
Gabriele,Moroni,Novara,Italy,1987,9,20,170,58,1996,39
Remy,Bergasse,Marseille,France,1986,11,1,177,58,1986,40
Alex,Megos,Erlangen,Germany,1993,8,12,173,57,1999,41
Sachi,Amma,Tokyo Higashimurayama,Japan,1989,1,1,173,53,2001,42
